,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2
0,7.669152805183964e+18,2.804045920817507e+16,1.2822669123454003e+21,1.4152271320025705e+18,2.2579287563694112e+17
1,7.669154805262776e+18,2.80404571595277e+16,1.282266911350638e+21,1.415227141621444e+18,2.2579287424108294e+17
