,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2
0,6.213512588015751e+19,1.731021370375063e+17,2.515121345640841e+21,2.270769399168616e+19,2.7581494725657595e+18
1,6.213513870964392e+19,1.731021367424257e+17,2.5151213386404824e+21,2.2707694643983167e+19,2.7581494978614856e+18
