,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9
0,3.170561305907257e+20,5.5759022763328896e+17,1.599657918501214e+17,1.0818217862817246e+17,8.368174200145478e+16,6.785809402202647e+16,5.126489880474844e+16,4.094006921835989e+16,3.1837290954655764e+16,2.48830548248379e+16
1,3.1705612020565855e+20,5.5759031362903136e+17,1.5996579165178266e+17,1.0818217459509386e+17,8.368173742177523e+16,6.78580891412849e+16,5.126489483867679e+16,4.09400657622689e+16,3.1837287963944388e+16,2.4883052327163784e+16
