,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2
0,6.956025710805083e+19,4.13561255206616e+17,2.7244484882898656e+20,9.1645120172273e+18,1.7106351713520804e+18
1,6.956026607984575e+19,4.135612503751098e+17,2.7244484403828707e+20,9.164512474209675e+18,1.7106351700438323e+18
