,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2
0,8.424102698604915e+18,4.248696237383294e+16,6.383218768035093e+20,9.140249432831945e+17,1.90709618688459e+17
1,8.424104859838155e+18,4.248695679836556e+16,6.38321875740632e+20,9.140249552325221e+17,1.9070961576852502e+17
