,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2
0,2.582067896671689e+19,7.004604827977193e+16,2.551963989614463e+21,8.524095432540891e+18,1.0748678740742893e+18
1,2.582068519666782e+19,7.004604348391635e+16,2.551963986459605e+21,8.524095536458283e+18,1.0748678709546565e+18
