,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9
0,6.227467242960279e+20,4.1935489426445916e+18,7.897770466152529e+17,4.7690095451025024e+17,3.574284750453708e+17,2.8442649324495677e+17,2.1351117649130525e+17,1.687713978678678e+17,1.2973428166931526e+17,1.0160807731664138e+17
1,6.227466862324912e+20,4.193550404249113e+18,7.897771044044338e+17,4.7690093948139354e+17,3.574284431666285e+17,2.8442645238520438e+17,2.135111427536395e+17,1.6877136822601245e+17,1.2973425540951435e+17,1.0160805454096581e+17
