,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2
0,3.171420364319995e+19,2.0150143619378707e+17,3.010465419767366e+20,2.7776449433171594e+18,6.557448187994606e+17
1,3.17142103394048e+19,2.0150143596962845e+17,3.010465385515452e+20,2.7776450658879124e+18,6.557448179128678e+17
