,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9
0,2.570350315940159e+21,2.08132406034436e+18,2.6631679970240778e+17,1.3796652830450638e+17,1.0082506416971584e+17,8.072137658222118e+16,6.073302384064767e+16,4.80199739609988e+16,3.713129705485637e+16,2.960194715233918e+16
1,2.570350315090491e+21,2.081324067246101e+18,2.663167980171004e+17,1.3796652634977109e+17,1.0082506220684947e+17,8.07213745510902e+16,6.0733022064013944e+16,4.801997235252472e+16,3.7131295665687944e+16,2.960194594536336e+16
