,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2
0,2.959178902722752e+19,1.0796522505803478e+17,1.2644414544433368e+21,6.124310600400386e+18,9.272932653593642e+17
1,2.9591796155166614e+19,1.079652240293464e+17,1.2644414507894293e+21,6.124310726069091e+18,9.272932676103585e+17
